Label,Alpha,Beta,Gamma,Delta,Theta,Date
2,7.1909475,3.3862915,0.60488707,0.07269688,7.3014026,08:12.6
2,6.3178225,3.6818247,0.9835544,1.0809097,7.312463,08:13.5
2,4.931243,2.705184,1.3959266,-0.00329063,6.661733,08:14.6
2,5.0584593,2.690685,2.0114877,-0.48397666,6.7996917,08:15.7
2,6.672493,3.842512,1.9372321,-0.6479861,7.2652555,08:16.6
2,6.3434896,3.1487195,1.8542192,-0.26357722,6.096612,08:17.5
2,4.950049,3.3860734,2.12309,-2.2686107,6.679931,08:18.6
2,5.001985,3.0456579,1.5494369,-1.8737953,6.3974886,08:19.6
2,3.275283,2.5907776,0.72219586,-1.1772159,6.8990307,08:20.6
2,4.331453,2.6308196,0.016263511,-1.1673493,7.621412,08:21.5
2,4.478817,2.4869533,0.31920883,-0.33238626,7.184406,08:22.6
2,4.9805756,2.7068856,0.4055423,-0.39034826,9.150812,08:23.5
2,6.8631234,2.9534302,1.1586396,0.26337504,10.032933,08:24.6
2,5.737951,2.9770517,1.0960189,-0.12519383,9.039739,08:25.5
2,4.885118,3.086119,-0.02793584,-2.9171276,8.031264,08:26.6
2,5.3617163,3.4138145,-0.06745103,-1.5264904,5.46445,08:27.5
2,5.8346653,2.8679214,-0.09746978,-1.1066873,6.3779497,08:28.6
2,5.6075754,2.7758622,-0.17381921,0.49185905,7.0823812,08:29.5
2,6.2316446,2.1160343,0.006700859,1.8992794,7.805032,08:30.4
2,5.7684355,2.3248236,0.002272165,1.3754549,8.718359,08:31.6
2,6.551459,2.923592,0.9855922,1.285114,8.695533,08:32.5
2,6.505193,3.268221,1.5893939,0.8541376,9.02525,08:33.5
2,5.7997313,3.9248562,1.3067502,-2.3643785,9.123726,08:34.5
2,6.3916435,4.554037,0.9517053,-0.8724799,9.896313,08:35.5
1,5.9205046,2.634894,-0.8636464,-5.643357,4.897499,09:32.3
1,5.6346645,2.237177,-0.5120097,-6.0901933,5.5598984,09:33.2
1,4.8926635,2.2256012,-0.62783056,-7.115757,5.369696,09:34.3
1,5.0369215,2.3686507,1.2395895,0.28051645,9.176812,09:58.1
1,5.0196147,2.1312418,0.27952093,0.35209903,7.657829,09:59.1
1,4.9027004,2.3213491,-0.025375538,0.13168842,7.787281,10:00.1
1,5.2550545,2.803983,-0.51812917,-3.4077957,7.1057634,10:01.1
2,6.2383304,5.343286,3.9588952,-0.34738013,9.6144495,10:35.8
2,5.880378,4.8634677,3.6978862,-0.86138,8.636276,10:37.0
2,4.6544504,3.449532,2.7567344,-1.3922169,8.506176,10:37.9
2,4.4382086,3.4060426,2.6170542,-2.2188454,8.028121,10:39.0
2,5.419096,3.4997613,2.754226,-2.0732374,8.580188,10:39.9
2,5.3557396,3.670663,2.367183,-3.411734,8.473815,10:40.9
2,5.1962566,3.485371,2.0292048,-3.5464356,7.5779533,10:41.9
2,4.463911,3.0811164,2.3867683,-3.3765678,6.075152,10:42.9
2,1.8759248,3.1912646,1.7021334,-3.9653485,3.1978827,10:43.9
2,3.378735,3.8698456,2.4763207,-1.2303551,5.4092803,10:44.9
2,3.6818378,4.102904,2.555779,-1.0831732,6.825052,10:46.0
2,4.980604,4.5503225,2.737864,2.1711156,7.7498384,10:46.8
2,6.806794,5.024198,2.9992673,5.088105,9.293175,10:47.9
2,6.557241,4.8399506,2.9505541,4.7644825,9.095877,10:48.9
2,4.7483916,4.3785152,3.0989614,5.1174216,9.435036,10:50.0
2,4.665839,4.153731,3.272991,4.320353,8.916802,10:50.8
2,4.364851,2.9655266,2.6499648,-0.33446828,8.888731,10:52.0
2,3.5114548,2.6668453,1.8283416,-3.1762326,7.508245,10:52.9
2,2.7427628,3.0598822,1.8022953,-6.2678947,5.7262893,10:53.8
2,3.2569375,3.0372808,0.81356794,-5.0531893,5.6186495,10:54.9
2,2.6891005,2.644213,0.09054519,-4.170041,4.9250207,10:55.8
2,3.5483253,3.5093966,1.2084378,-2.7387319,4.9791045,10:56.9
2,3.550468,3.4299684,1.251229,-0.8173665,5.4459133,10:57.8
2,4.0348787,3.4638553,1.0896714,-1.2896215,5.6887197,10:58.8
2,4.1296015,3.8011897,1.2473769,-0.5047537,6.6038885,10:59.9
2,4.67617,3.8884385,1.6415818,-0.66954553,5.8487525,11:00.8
2,4.0499954,3.5008318,0.69066644,-2.535755,5.4939833,11:01.9
2,3.8506846,3.4801307,1.0993156,-3.203193,5.005338,11:02.8
2,4.404234,3.5215886,2.2537408,-3.3763423,5.4342585,11:03.8
2,5.211838,2.9711423,2.5576837,-2.8468297,6.1716356,11:04.8
2,5.351546,2.8558254,2.9565828,-2.6380305,7.1148496,11:05.8
2,4.8520017,3.0340703,3.196621,-3.7665324,7.7061377,11:06.8
2,5.216983,3.2320871,2.3598342,-2.2643037,8.10352,11:07.8
2,3.904674,3.3009202,1.4754084,-2.658565,7.9993973,11:08.9
2,3.4404342,3.6151803,1.4621661,-2.0947747,8.74353,11:09.7
2,5.253826,3.7366817,1.5420551,-1.2768689,8.378715,11:10.8
2,5.2614665,3.997427,1.682515,-2.5751317,7.6733804,11:11.8
2,5.5153317,3.9974568,1.9709202,-1.6295103,8.358141,11:12.8
2,5.869842,4.37156,2.520563,0.15758744,7.6658835,11:13.9
2,4.9835896,4.2692127,3.2262685,0.2516995,7.0775566,11:14.8
2,4.86559,3.7363744,2.964658,-0.09197323,6.952151,11:15.7
1,5.1384225,2.6197712,1.1143022,3.2682266,7.1428766,50:55.5
1,4.0379386,2.0977836,-1.0223334,-1.9149339,4.9090023,50:56.5
1,3.6236844,1.1606785,-1.8103518,-3.1589842,4.674517,50:57.5
1,3.0106838,0.8742508,-2.5139205,-6.739444,3.6266308,50:58.4
1,4.5380716,0.9167531,-2.2423465,-1.6183739,8.400422,51:11.5
1,3.1880279,0.9187317,-2.993047,-2.0970495,8.390314,51:12.4
1,2.652841,1.224533,-3.133477,-4.411969,8.309061,51:13.5
1,3.4676216,1.4475433,-2.89901,-5.6013956,6.469009,51:14.4
2,4.7401776,2.4824903,1.3455215,2.451503,7.534544,51:21.4
2,5.223918,3.0402653,2.3122003,2.7452242,8.985887,51:22.4
2,4.4598694,2.4396505,0.6577896,2.7569299,8.379391,51:23.3
2,4.401358,1.8601581,-0.3008202,1.5676146,7.9756145,51:24.4
2,5.2039695,2.3127525,-0.035264716,0.9073594,8.698698,51:25.3
2,5.61285,2.590682,-0.32812113,-0.104707435,8.929192,51:26.4
2,4.267998,1.6900872,-1.1474375,-1.6017462,7.3135514,51:27.4
2,4.029921,1.5072837,-0.91619575,-1.5961686,7.3898687,51:28.3
2,4.7012777,2.2030709,-0.52481645,-1.5403143,6.969445,51:29.4
2,3.7752233,1.7677475,-0.024522144,-0.52994806,6.361947,51:30.3
2,4.062668,2.316534,-0.46200493,0.014475095,7.9431095,51:31.3
2,5.6749973,2.961457,0.08006079,-0.25338683,8.933939,51:32.3
2,5.205371,2.76308,0.10821201,-0.19258681,9.636269,51:33.3
2,5.243108,2.9835558,0.029091338,-0.12874812,9.289523,51:34.4
2,5.2001667,2.6701527,0.105548985,2.2262893,8.698287,51:35.3
2,5.33985,3.1420844,1.133445,2.583107,10.179841,51:36.3
2,4.7607284,2.8242164,0.64733446,2.4776797,9.946149,51:37.3
0,4.698426,0.48278198,-1.3838379,-1.0418098,6.607573,51:46.3
0,4.4707584,1.4381784,-1.4030946,-4.548054,5.6236606,51:48.3
0,7.5534515,2.6918824,-0.5940735,-2.9325936,6.4371166,51:49.3
0,9.1646385,2.9772866,-0.12353195,-2.1345754,9.412757,51:50.3
0,10.605472,3.8138545,-0.10579673,-0.36675373,11.384677,51:51.3
0,10.835939,3.365138,0.401769,0.10403222,11.52885,51:52.2
0,10.789645,2.7198315,0.57702994,-0.07436385,11.907485,51:53.2
0,9.844484,2.068134,0.013920358,1.5173155,12.023446,51:54.3
0,9.117469,1.6546625,0.122298226,0.105380915,10.462405,51:55.2
0,10.054121,1.8978552,0.67577904,-0.512828,8.864636,51:56.2
0,9.78223,1.9808724,0.63039464,0.21369147,8.227064,51:57.2
0,9.741875,2.0427155,0.3107763,0.32169476,10.924445,51:58.2
0,9.07337,1.6532958,-0.06616529,0.3665433,10.641089,51:59.2
0,8.515644,5.261973,3.264057,1.9121196,8.4028225,52:05.3
0,8.608866,5.6951394,3.9087236,1.0197474,8.0960655,52:06.2
0,9.3264675,5.139409,3.3404577,0.5671409,8.553271,52:07.3
0,9.878351,4.6366224,2.6529315,0.8054363,7.768346,52:08.2
0,10.172734,3.7807105,1.9937654,-0.5584601,6.9914837,52:09.1
0,10.446598,3.9109569,2.2665591,-0.38191944,6.6000705,52:10.2
0,9.183371,3.5159252,1.4795138,-0.35317525,5.5335035,52:11.2
0,8.47628,2.910509,1.3237228,-2.9150646,4.3736935,52:12.1
0,8.526374,2.3412275,0.9418507,-2.9047046,5.0657926,52:13.2
0,9.202847,2.2066975,0.53738993,-1.3685772,6.9826627,52:14.1
0,9.107208,1.8843743,-0.19566485,0.47331485,8.780664,52:15.1
0,9.051663,1.5251511,0.108093895,0.5926714,9.44208,52:16.2
0,9.267309,1.4312736,0.22313818,1.0513328,9.602719,52:17.2
2,3.8327355,1.3108686,-0.9482754,1.0235592,8.09834,52:29.2
2,3.1374676,0.96804374,-0.6988563,1.2816416,7.50313,52:30.1
2,4.422613,1.232013,-0.44352636,1.8762268,8.050619,52:31.1
2,4.4529595,1.967574,0.5999861,1.7259865,8.60296,52:32.1
2,3.9594693,2.3013601,0.5818588,1.6718088,8.979329,52:32.9
2,5.932541,3.148953,1.4810832,2.441153,9.517578,52:34.0
2,6.042356,3.784998,1.4591392,1.5739012,9.3111,52:35.1
2,6.933848,5.245072,2.2831817,1.7047093,9.831518,52:36.1
2,7.0729165,4.6980906,2.3914528,2.5276341,9.579477,52:37.1
2,7.924306,4.643619,2.6772296,3.2908177,9.440379,52:38.1
2,6.2339926,4.098347,2.2904563,2.0975041,8.537147,52:39.1
2,5.2532334,2.8638442,1.4286816,0.66174215,7.954997,52:40.0
2,5.5341015,1.4283731,-0.21622023,0.7270681,9.144259,52:41.0
1,4.58167,0.32543042,-1.6688784,-3.0817509,7.1729455,52:47.0
1,3.8154995,0.86928916,-2.1615298,-4.676424,6.7523885,52:48.2
1,2.7916517,0.7247596,-2.2750585,-4.6286077,5.331444,52:49.0
1,2.524244,0.8226014,-2.8234308,-4.7844768,4.2310967,52:50.0
1,2.3788488,1.1221768,-2.393318,-6.770955,7.537048,52:57.0
1,1.9530859,0.9522859,-2.9654896,-6.9264574,6.683436,52:58.0
1,2.5370479,0.3624528,-2.6503687,-3.356987,5.501112,52:59.0
1,0.94830817,0.50521296,-2.7199695,-4.0033426,3.2064154,53:00.0
2,7.185212,2.779797,1.8719578,2.689159,11.731393,54:40.5
2,7.9302955,2.9823716,1.6988508,1.605881,11.681189,54:41.5
2,6.025981,3.2935505,2.2808304,1.0740659,8.830119,54:42.5
2,5.612755,2.853335,1.5865084,0.23371306,8.509718,54:43.5
2,6.3473563,3.0992024,1.1354408,0.26745003,9.032856,54:44.4
2,6.8553925,3.5915418,1.5812136,0.07810328,8.921486,54:45.5
2,7.4167204,4.276835,0.8839007,-0.39186928,9.7496,54:46.5
2,6.7418046,4.0490365,-0.22584027,-0.6179339,9.579996,54:47.5
2,5.717517,3.6733053,0.36652473,1.3525023,9.434863,54:48.5
2,5.9959874,3.7960353,0.116088204,2.26053,10.132522,54:49.5
2,4.998567,3.411624,-0.13480037,2.3199928,9.810542,54:50.4
2,5.553594,3.1807039,-0.20877416,2.4372973,10.079245,54:51.5
2,6.0589485,2.7289357,0.24164183,2.429483,10.107596,54:52.4
2,6.4113703,1.9455178,-0.5262231,0.7973853,8.517643,54:53.5
2,5.600468,3.417754,-0.48957112,0.68275094,7.9066763,54:54.4
2,6.328731,3.8151226,-0.08406214,1.4570267,9.132952,54:55.4
2,6.164728,3.2213147,-1.332352,-0.11185956,7.975199,54:56.4
2,6.4812517,3.5263143,-1.7621877,0.50702953,8.419503,54:57.4
2,5.0913706,2.4948373,-2.0503836,1.5950778,7.9730945,54:58.4
2,3.8556056,2.2876058,-1.9703242,0.06355566,5.574507,54:59.5
2,4.2904444,2.5422506,-2.2157795,0.56199896,6.1300087,55:00.4
2,3.1164136,2.4287345,-1.7971076,-0.041413367,5.448289,55:01.4
2,2.7694814,2.441007,-1.6360239,-0.43808383,5.6676674,55:02.5
2,3.073257,2.5631847,-1.5542842,-1.9316432,6.6162667,55:03.4
2,3.2761657,1.8024987,-2.3011508,-2.348855,5.5587325,55:04.4
2,3.8283277,2.211109,-1.8610764,-1.4558779,7.7158227,55:05.4
2,3.8908532,1.2631304,-2.3440669,-1.5600135,7.8725367,55:06.4
2,4.8739557,1.4771205,-1.9105023,-1.7142833,6.5652018,55:07.3
2,4.8108125,2.6657016,-1.5349953,-0.7440341,8.072024,55:08.3
2,6.275731,3.487759,-1.0578588,-1.945132,7.916464,55:09.3
2,6.0202446,3.370528,-1.9168051,-2.92457,7.939584,55:10.4
2,5.4078555,3.157776,-1.390814,-1.2710632,9.304141,55:11.4
2,5.5719647,2.917958,-1.6476419,-2.0356698,9.273009,55:12.4
2,5.2852426,1.6259048,-2.0488522,-1.1603684,8.267789,55:13.3
2,5.3160667,0.703605,-1.8963424,-0.9773388,7.660664,55:14.3
2,4.2014666,0.64552253,-2.2784014,-2.3867002,6.1192684,55:15.4
2,4.772588,1.5302776,-2.002545,-1.2268203,6.152066,55:16.4
2,3.204884,1.2079141,-2.648917,-0.04307301,6.132161,55:17.3
2,2.8679895,1.8678368,-1.8268903,-0.1495141,6.706093,55:18.5
2,3.6466682,1.9791367,-1.5578896,-1.0359731,7.4084306,55:19.4
2,3.5911603,1.7029401,-1.2849437,-1.1083826,8.595298,55:20.3
2,3.9910953,1.6404765,-0.6493584,0.15494545,9.264547,55:21.3
1,3.7548573,0.24003881,-2.0873048,-1.9739624,5.8373065,55:34.3
1,3.017949,0.060380634,-2.543382,-1.7005856,5.4362917,55:35.2
1,2.7375193,-0.11482843,-2.9165692,-2.8755286,5.496163,55:36.2
1,2.530528,1.7395965,-2.0987437,1.2794322,8.299433,55:44.2
1,1.2674432,1.3309451,-2.5759506,-0.046873093,7.431731,55:45.3
1,3.174634,0.90089196,-2.0746818,-1.117329,7.1121297,55:46.2
1,4.115888,0.41427496,-3.1481907,-0.44600868,8.224201,55:47.3
1,3.6779227,1.0571696,-1.3411481,-0.10814811,6.139533,55:56.2
1,3.9557693,1.3357363,-1.5154077,-1.4193149,6.4486294,55:57.2
1,3.7728012,0.93772334,-1.5011581,-2.137914,6.506734,55:58.2
1,3.776792,0.121322155,-2.6263123,-5.235551,6.0753984,55:59.1
2,8.059237,4.6526256,3.466716,2.753755,9.272633,56:11.1
2,8.209611,4.1001797,1.5453271,4.1109023,10.444387,56:12.2
2,8.267882,4.0909314,0.76732713,4.814724,12.376408,56:13.1
2,7.4639664,3.9145787,1.1393852,4.3209224,12.119372,56:14.1
2,7.233683,4.042783,1.215847,5.3575773,12.236566,56:15.1
2,7.94448,3.950176,0.9619505,3.65662,12.716285,56:16.1
2,8.497577,4.3111734,0.19216156,3.121651,11.80648,56:17.1
2,8.286464,3.6056166,-0.46777833,3.502282,10.990888,56:18.1
2,8.226216,3.8262029,-0.1964692,2.4678454,10.109061,56:19.1
2,8.742089,3.9830623,0.2610552,3.7363591,9.245363,56:20.1
2,7.0597677,4.0265703,0.27424785,4.359318,8.168652,56:21.1
2,7.1670113,3.9287577,0.73642737,4.0568595,8.584797,56:22.1
2,6.981002,3.4810538,0.10937843,2.835765,8.798106,56:23.1
2,6.983506,3.2567358,-0.13618748,1.3391498,7.7134843,56:24.0
2,7.3897486,3.7039008,-0.27243438,-0.7880701,8.501649,56:25.0
0,6.7999663,3.265812,-0.17061274,4.0347314,10.627953,56:31.0
0,6.9682555,3.4735177,0.31809345,3.278071,9.629554,56:32.1
0,8.171605,2.7078679,0.35398594,1.3852447,8.198557,56:33.0
0,9.67593,3.4345753,1.1647155,1.620147,8.569696,56:34.0
0,11.578215,3.9855678,1.8066839,1.5243379,8.010659,56:35.1
0,11.803202,3.6943436,2.044493,1.712836,8.051701,56:36.0
0,11.072557,4.855781,2.1086779,2.2860768,9.1181755,56:37.0
0,10.622603,4.9351473,1.727745,3.8208318,10.409727,56:38.0
0,9.592481,5.0458336,1.2089686,3.5536933,10.794795,56:39.0
0,9.515013,4.2344694,1.0709213,3.806631,11.23399,56:40.2
0,10.064272,4.3752174,0.5293035,3.0339272,11.097671,56:41.0
0,10.987249,4.323214,0.685463,1.5041096,10.2973175,56:41.9
0,11.637724,3.2324796,1.3703519,2.420924,9.895713,56:43.0
0,5.4830103,1.3131586,-0.86111647,-1.790179,8.811064,58:42.5
0,7.142662,1.9880934,0.026266417,-2.0399694,8.683065,58:43.4
0,9.215376,2.0137029,0.73658633,-2.4837947,8.602406,58:44.5
0,10.048642,2.2820249,0.93975097,-1.8989446,8.549076,58:45.4
0,10.356985,1.9731535,0.35855648,-1.3078312,7.708678,58:46.4
0,10.318495,2.1901608,1.0370849,-1.1604787,8.427375,58:47.4
0,10.501839,2.9207041,1.1213478,-0.89104193,8.555902,58:48.4
0,10.326177,2.740618,0.82802194,-0.7536708,8.71593,58:49.4
0,9.849151,2.7447164,0.7172963,-1.4315625,8.244029,58:50.4
0,8.354693,2.1080225,0.83659047,-2.744964,5.1374836,58:51.6
0,7.557734,2.2915008,1.2493777,-2.1858685,4.7367377,58:52.5
0,6.560969,2.7648635,1.1414329,-1.0221428,7.017264,58:53.5
0,5.094178,1.5872078,-0.67986673,0.14353904,9.79673,59:05.4
0,7.0281625,2.8830776,0.06452546,0.5670751,10.24525,59:06.4
0,7.9902177,3.3209054,0.42507645,0.9493412,10.145242,59:07.5
0,7.585097,3.5107296,1.1649073,0.72704935,10.235041,59:08.4
0,6.935356,2.48619,1.2879194,-1.8473438,6.9753075,59:09.4
0,7.7751284,2.3073359,1.2250193,-2.0918543,7.230162,59:10.4
0,7.282035,2.092413,1.416863,-4.1771674,6.491818,59:11.4
0,7.2296095,2.042398,1.6542293,-2.5455701,7.4954543,59:12.3
0,7.5374894,2.2354102,1.7480012,-1.7602403,7.5052776,59:13.4
0,8.034195,2.2264035,1.4916974,-2.6773443,7.130535,59:14.4
0,8.073334,2.4943733,1.1852775,-0.95105016,7.5118237,59:15.4
0,8.90996,2.9340851,2.1857255,0.74187934,7.7092614,59:16.4
0,9.030043,2.846651,1.8555145,0.24085145,7.428881,59:17.5
2,4.7741404,2.4411764,1.1865466,0.7914031,9.497001,59:42.3
2,5.5490804,2.937338,1.2697483,0.14681488,9.870215,59:43.4
2,5.9682946,2.275285,0.6693298,-1.2989132,8.093967,59:44.3
2,6.577108,2.477455,1.2866879,0.98282385,9.627703,59:45.4
2,5.62361,2.0637352,-0.43151942,0.6353873,9.012849,59:46.2
2,5.939629,1.6420735,-0.7920937,0.6016518,9.276851,59:47.3
2,4.618334,0.93604195,-2.2664702,0.030136466,8.70469,59:48.3
2,2.500234,0.8584138,-1.4626138,-0.98933506,8.471783,59:49.3
2,2.3450122,0.40322208,-1.8372701,-2.016518,8.15217,59:50.2
2,1.9429022,0.9350867,-1.801893,-1.7186073,7.5743384,59:51.2
2,3.460881,1.9083153,-0.7092318,-1.4278139,8.050386,59:52.2
2,4.2237935,1.2414173,-1.0693132,-0.34734106,7.9440904,59:53.3
2,4.896436,2.1506712,-0.89514524,-1.4207733,7.639061,59:54.1
2,5.3042703,2.6793027,-0.50217897,-2.4646459,7.406509,59:55.2
2,5.639039,2.6090438,-0.47502455,-3.1805134,7.5471244,59:56.2
2,5.1394157,2.0147045,-1.6088946,-3.4215724,6.1275496,59:57.2
2,5.002472,1.3466393,-2.0301263,-4.72683,5.7810698,59:58.2
2,3.8202133,-0.03322926,-3.0183227,-2.445144,4.0892434,59:59.2
2,2.9518154,0.4361605,-2.890583,-1.6609309,5.010207,00:00.2
2,2.690534,0.19567542,-2.632042,-0.8852924,6.398197,00:01.1
2,3.1128569,0.49964792,-1.4783027,0.34401453,8.89218,00:02.1
2,3.7478957,2.1343818,0.7521783,2.5348167,9.254838,00:03.2
2,3.6702378,2.8929272,0.69979286,2.4157195,8.957858,00:04.3
2,4.49821,2.3294399,-0.16819844,2.0899086,7.9871817,00:05.2
1,3.557729,-0.0990349,-2.1327653,-0.79387945,7.592505,00:17.0
1,2.2191443,-0.40597072,-2.1681552,-0.8695676,7.065917,00:18.0
1,2.2326944,-1.1632385,-2.495738,-1.4050767,6.2925525,00:19.0
1,1.7846498,-0.73434746,-2.1359732,-4.286844,5.1956186,00:20.0
1,3.1029544,0.9894941,-2.5865514,0.34550983,5.5965595,00:30.1
1,2.2270122,0.098632835,-3.2599413,-2.317009,3.0889106,00:31.1
1,1.6616132,0.4921264,-3.2751577,-2.7917066,3.1049123,00:32.0
1,0.4688961,0.7486844,-3.7507772,-3.6285834,2.4675083,00:33.1
1,1.8630317,1.1338804,0.8585512,-0.024388004,6.625955,00:43.1
1,2.5704498,0.5576456,0.24834804,-0.73758763,7.276781,00:44.0
1,2.3047414,0.005762937,-2.3336852,-1.2458097,6.711171,00:45.0
1,1.9939709,-0.056852374,-2.6533096,-2.226355,6.10169,00:46.1
1,3.3484879,-0.18964489,-1.9441022,0.82065976,6.7032866,00:55.9
1,3.1910472,0.066450305,-1.8440208,0.9901128,6.316285,00:56.9
1,2.8178792,0.015510742,-1.737289,0.99018586,5.889569,00:58.0
1,4.058442,0.27773997,-1.5548832,-1.856741,5.215137,00:59.0
2,8.836177,7.0754647,3.534992,3.3106525,9.522769,01:05.9
2,8.714374,6.2201204,3.1592293,3.8823192,10.9401045,01:09.9
2,5.7266436,4.9014416,1.2186357,4.584969,10.732393,01:10.9
2,4.356872,3.7485867,-0.20938231,4.1393967,9.718933,01:11.9
2,3.9698815,3.885523,-0.5215951,2.3600156,8.811189,01:12.9
2,5.43751,3.816769,-0.46410137,2.3071609,9.4072485,01:13.9
2,5.84792,3.6583552,0.12741368,2.5266778,9.459161,01:14.9
2,6.0361834,3.139158,0.35976616,1.2636619,9.326809,01:16.1
2,6.6391706,3.0142753,0.36063966,-0.54364574,9.367044,01:16.9
2,7.36792,2.3480153,0.17779852,-0.03445525,8.983174,01:17.8
2,6.3257737,1.9816637,-0.33845705,-1.6549208,8.402771,01:18.9
2,5.839093,1.7967216,-0.5270903,-1.9683044,8.893428,01:19.9
2,4.778581,1.6945897,-0.77563757,-2.987239,7.878746,01:20.8
2,5.4037013,2.3696764,0.29477897,-0.5772902,8.388731,01:21.9
2,6.0440645,2.324233,0.007606669,0.9893877,7.721081,01:43.8
2,7.094447,3.9662237,0.88315135,0.7963434,8.24989,01:44.8
2,7.962882,4.4463205,1.7080594,-0.03164033,8.321858,01:45.7
2,7.8311234,4.8553486,1.8411348,-2.6171336,7.755152,01:46.8
2,7.648047,5.5590954,2.6348915,-3.1762464,8.152591,01:47.7
2,8.829738,6.6346107,3.6689372,-1.0656862,10.108668,01:48.7
2,7.6514063,5.437938,2.7328484,0.099460624,10.375441,01:49.8
2,7.1857095,4.9654994,2.2380471,1.4535254,10.877324,01:50.7
2,6.2202244,4.224219,1.19071,2.1907248,10.547538,01:51.7
2,6.228973,3.3756993,0.1625951,1.102043,10.521303,01:52.7
2,4.196509,2.167916,-1.4751801,0.8297421,10.20334,01:53.7
2,4.398352,2.4054549,0.62108546,2.5427778,10.977388,01:54.7
2,5.4905653,2.2799754,0.42943126,2.359188,11.00914,01:55.7
2,5.164512,2.3499777,0.3154232,3.2839103,10.90211,01:56.7
2,5.780846,1.7919675,1.50E-04,4.81733,10.589418,01:57.6
2,6.0961657,0.76113313,0.14376587,4.2578483,9.710169,01:58.6
2,4.9348464,0.66683656,-1.3022323,3.3156242,7.5628505,01:59.6
2,4.371153,0.76125526,-0.8203774,1.9703262,6.917018,02:00.6
2,3.3491504,0.6734927,-1.2126545,1.1590095,6.7100415,02:01.6
2,2.892939,0.85298115,-0.8960239,-0.8063961,6.2861977,02:02.7
2,5.594781,1.9469328,0.18606898,0.3697773,7.7671604,02:03.6
2,5.683181,1.5218635,0.39376974,1.5974243,10.136204,02:04.7
2,6.7407823,4.178122,1.5133299,3.552042,11.590662,02:05.6
2,8.64559,5.7074146,2.18903,3.0872693,12.765365,02:06.6
2,8.035636,4.482714,2.224051,4.66444,11.653402,02:10.6
2,5.9192233,3.2415433,1.1628525,4.889646,9.576261,02:11.7
2,5.4917216,2.2879221,-0.06351061,2.3620706,8.228346,02:12.7
2,5.549482,2.6306226,0.6748352,1.1176435,8.451269,02:13.7
2,4.7035575,2.2242136,0.1930583,1.1516439,8.7223015,02:14.6
2,5.0503287,2.662681,0.22438142,1.1484814,8.91215,02:15.6
2,3.7750802,2.4271412,0.8406138,1.2405392,8.565559,02:16.6
2,3.9414706,2.8561177,0.52027243,0.40114364,9.014158,02:17.5
2,4.8549128,3.305688,0.5058812,-0.30191442,8.243241,02:18.6
2,4.972677,2.8010154,0.87651306,-1.9861397,7.576238,02:19.6
2,6.2157903,2.9097855,0.8694495,0.57582515,8.769279,02:20.6
2,5.309541,2.7715607,0.33027294,-0.17883968,8.052914,02:21.6
2,5.121175,2.8010437,-0.6400369,0.7075089,8.412536,02:22.6
2,6.774789,3.3002894,-0.68092173,2.2593937,8.416165,02:23.6
2,7.599314,4.1532474,0.4184948,2.6168232,9.030557,02:24.6
2,6.9550066,4.3595567,0.7442076,2.36173,9.28278,02:25.6
2,6.8767395,4.1236544,1.2099552,2.2863777,8.967711,02:26.5
1,5.127811,2.2404659,-2.8162608,-2.696967,6.948986,02:43.5
1,2.9549155,1.0464213,-2.400818,-2.2128904,7.41425,02:44.5
1,2.5942743,0.55927914,-2.5504367,-2.0339696,7.03813,02:45.5
1,4.0280676,1.7141476,-3.2731788,-0.14317206,7.8938847,03:03.4
1,4.1543,1.2449433,-3.1390724,-0.7856909,8.2527075,03:04.4
1,3.9684968,1.8182687,-2.863415,-0.5072652,7.783417,03:05.4
1,3.8637695,1.2170167,-3.500763,-3.8923802,5.906039,03:06.4
0,5.6597137,1.2955346,-0.8582386,-0.5037909,9.16594,03:20.3
0,7.29679,2.0059109,0.00742483,0.47200242,9.41244,03:21.4
0,8.504675,2.4129796,-0.56980133,-0.2815182,8.580838,03:22.3
0,9.914704,3.3662784,-0.3414827,1.0723146,10.080501,03:23.3
0,11.468806,4.2351656,-0.1288348,0.6482047,10.253481,03:24.3
0,11.624053,4.220945,0.015369179,-0.6838826,9.631069,03:25.3
0,10.763418,3.4894364,0.2577087,1.123341,8.90188,03:26.3
0,10.946361,3.4025452,0.98529035,0.56020004,7.147493,03:27.3
0,8.680462,2.6887336,0.78310835,-1.017975,6.0977206,03:28.3
0,8.702139,2.4831066,0.7027193,-0.9631936,6.9535327,03:29.3
0,8.465242,1.8956366,0.9220227,-2.0305219,6.269588,03:30.2
0,7.726439,2.056743,1.3362442,-2.6788087,5.7708845,03:31.3
0,7.1929703,2.2309887,1.1411875,-0.115159534,7.8159466,03:32.3
1,4.4206414,1.3959911,-1.9166565,-1.4388287,6.5288515,03:58.3
1,4.993543,1.648408,-1.584163,-1.1075884,7.711117,03:59.2
1,4.6582108,1.5018877,-1.8134912,-1.2808214,6.8971305,04:00.2
1,4.656003,1.1987637,-1.9579331,-1.5903765,6.3098154,04:01.2
1,3.117692,1.0802035,-2.7609687,-1.2944591,7.801297,04:21.0
1,3.5902035,1.663741,-2.5467696,-1.5734054,8.366064,04:22.1
1,4.258777,1.6296586,-2.5027292,2.2088857,9.277759,04:23.1
1,5.0936036,2.2005765,-2.6556,3.0700116,8.665373,04:24.0
1,2.2517977,0.61776775,-1.9154869,-2.8052807,5.172144,04:44.9
